Time [sec]	P [h Pa]	T [°C]	U [%]	Wsp [m/s]	Wdir [°]	Lon [°]    	Lat [°]  	Altitude [m]	Geo Pot [m']	MRI   	RI   	Dew [°C]	Vi Te [°C]	Rs [m/s]	D [kg/m3]	Azimuth [°]	Elevation [°]	Range [m]
0         	862.2   	-4.80 	36   	12.0     	090     	-111.845300	40.895450	1583.0      	1583.0      	499.7 	251.2	-17.5   	-4.6      	-25.3   	1.119501 	180        	41           	0        
1         	861.9   	-5.03 	41   	12.0     	090     	-111.845441	40.895473	1584.6      	1584.6      	500.4 	251.6	-16.1   	-4.8      	1.6     	1.120136 	104        	9            	12       
2         	861.7   	-5.11 	41   	12.0     	090     	-111.845582	40.895495	1586.3      	1586.2      	500.6 	251.6	-16.4   	-4.9      	1.6     	1.120135 	103        	8            	25       
3         	861.4   	-5.18 	40   	12.0     	089     	-111.845722	40.895518	1588.5      	1588.5      	500.9 	251.5	-16.6   	-5.0      	2.2     	1.120103 	103        	9            	37       
4         	861.2   	-5.24 	40   	12.0     	089     	-111.845863	40.895540	1591.2      	1591.2      	501.3 	251.5	-16.7   	-5.0      	2.8     	1.120017 	102        	10           	49       
5         	860.9   	-5.26 	39   	12.0     	089     	-111.846004	40.895563	1594.0      	1594.0      	501.7 	251.4	-17.0   	-5.1      	2.8     	1.119802 	102        	11           	62       
6         	860.7   	-5.31 	39   	12.0     	089     	-111.846145	40.895586	1596.7      	1596.7      	502.1 	251.4	-17.0   	-5.1      	2.8     	1.119683 	102        	11           	74       
7         	860.3   	-5.44 	39   	12.0     	088     	-111.846285	40.895608	1599.5      	1599.5      	502.5 	251.4	-17.1   	-5.3      	2.8     	1.119714 	102        	11           	87       
8         	859.9   	-5.59 	39   	12.0     	088     	-111.846426	40.895631	1602.5      	1602.4      	503.0 	251.4	-17.3   	-5.4      	3.0     	1.119837 	102        	12           	99       
9         	859.5   	-5.71 	39   	12.0     	088     	-111.846567	40.895653	1606.3      	1606.3      	503.6 	251.4	-17.4   	-5.5      	3.9     	1.119827 	102        	12           	112      
10        	859.1   	-5.79 	39   	12.0     	088     	-111.846708	40.895676	1610.2      	1610.2      	504.2 	251.4	-17.5   	-5.6      	3.9     	1.119652 	102        	13           	124      
11        	858.8   	-5.84 	39   	12.0     	087     	-111.846849	40.895699	1614.1      	1614.1      	504.7 	251.3	-17.6   	-5.7      	3.9     	1.119372 	102        	13           	137      
12        	858.4   	-5.89 	39   	12.0     	087     	-111.846989	40.895721	1617.9      	1617.9      	505.3 	251.3	-17.6   	-5.7      	3.9     	1.119078 	102        	14           	150      
13        	858.0   	-5.92 	39   	12.0     	087     	-111.847130	40.895744	1621.8      	1621.8      	505.8 	251.2	-17.7   	-5.7      	3.9     	1.118669 	102        	14           	163      
14        	857.5   	-5.95 	39   	12.1     	086     	-111.847271	40.895766	1625.5      	1625.5      	506.3 	251.1	-17.7   	-5.8      	3.7     	1.118255 	102        	14           	175      
15        	857.1   	-6.00 	39   	12.2     	086     	-111.847413	40.895788	1629.2      	1629.2      	506.8 	251.0	-17.7   	-5.8      	3.7     	1.117916 	102        	14           	188      
16        	856.7   	-6.05 	39   	12.4     	085     	-111.847610	40.895771	1632.9      	1632.9      	507.3 	250.9	-17.8   	-5.9      	3.7     	1.117590 	100        	14           	204      
17        	856.3   	-6.08 	39   	12.5     	085     	-111.847808	40.895754	1636.6      	1636.6      	507.8 	250.8	-17.8   	-5.9      	3.7     	1.117219 	99         	14           	221      
18        	855.9   	-6.10 	39   	12.6     	084     	-111.848006	40.895737	1640.4      	1640.3      	508.3 	250.7	-17.8   	-5.9      	3.7     	1.116753 	98         	14           	237      
19        	855.5   	-6.12 	39   	12.7     	084     	-111.848203	40.895720	1644.2      	1644.1      	508.8 	250.6	-17.8   	-5.9      	3.8     	1.116255 	97         	14           	254      
20        	855.1   	-6.14 	39   	12.9     	084     	-111.848401	40.895703	1648.1      	1648.1      	509.3 	250.5	-17.8   	-6.0      	4.0     	1.115812 	96         	14           	271      
21        	854.6   	-6.17 	39   	13.0     	083     	-111.848599	40.895685	1652.1      	1652.0      	509.8 	250.4	-17.9   	-6.0      	4.0     	1.115377 	95         	14           	288      
22        	854.2   	-6.21 	39   	13.1     	083     	-111.848796	40.895668	1656.0      	1656.0      	510.3 	250.3	-17.9   	-6.0      	4.0     	1.114946 	95         	14           	305      
23        	853.8   	-6.23 	39   	13.3     	082     	-111.848994	40.895651	1660.0      	1660.0      	510.9 	250.2	-17.9   	-6.1      	4.0     	1.114496 	94         	14           	322      
24        	853.3   	-6.25 	39   	13.4     	082     	-111.849191	40.895634	1663.9      	1663.9      	511.4 	250.1	-17.9   	-6.1      	4.0     	1.114009 	94         	14           	339      
25        	853.0   	-6.28 	39   	13.5     	081     	-111.849389	40.895617	1667.5      	1667.5      	511.9 	250.1	-18.0   	-6.1      	3.6     	1.113696 	93         	14           	355      
26        	852.7   	-6.32 	39   	13.7     	081     	-111.849587	40.895600	1670.5      	1670.5      	512.3 	250.0	-18.0   	-6.1      	3.0     	1.113404 	93         	14           	372      
27        	852.3   	-6.31 	39   	13.8     	081     	-111.849784	40.895583	1673.5      	1673.5      	512.6 	249.9	-18.0   	-6.1      	3.0     	1.112949 	92         	14           	389      
28        	852.0   	-6.30 	39   	14.0     	080     	-111.849982	40.895565	1676.5      	1676.5      	513.0 	249.8	-17.9   	-6.1      	3.0     	1.112450 	92         	13           	406      
29        	851.6   	-6.32 	39   	14.1     	080     	-111.850179	40.895548	1679.5      	1679.5      	513.4 	249.7	-18.0   	-6.1      	3.0     	1.112090 	92         	13           	423      
30        	851.3   	-6.38 	39   	14.2     	079     	-111.850377	40.895531	1682.7      	1682.6      	513.8 	249.7	-18.0   	-6.2      	3.1     	1.111900 	91         	13           	440      
31        	850.9   	-6.43 	39   	14.4     	079     	-111.850575	40.895514	1686.0      	1685.9      	514.3 	249.6	-18.1   	-6.3      	3.3     	1.111640 	91         	13           	457      
32        	850.6   	-6.32 	38   	14.5     	079     	-111.850772	40.895497	1689.3      	1689.3      	514.6 	249.4	-18.1   	-6.1      	3.3     	1.110725 	91         	13           	473      
33        	850.3   	-6.16 	38   	14.5     	078     	-111.850970	40.895480	1692.6      	1692.6      	514.9 	249.1	-18.0   	-6.0      	3.3     	1.109621 	90         	13           	490      
34        	849.9   	-6.01 	38   	14.5     	078     	-111.851168	40.895463	1695.9      	1695.9      	515.1 	248.9	-18.1   	-5.8      	3.3     	1.108533 	90         	13           	507      
35        	849.6   	-5.75 	37   	14.6     	078     	-111.851365	40.895445	1699.3      	1699.2      	515.3 	248.5	-18.0   	-5.6      	3.3     	1.107023 	90         	13           	524      
36        	849.2   	-5.48 	36   	14.6     	078     	-111.851563	40.895428	1701.9      	1701.8      	515.3 	248.1	-17.9   	-5.3      	2.6     	1.105425 	90         	13           	541      
37        	848.9   	-5.18 	36   	14.7     	077     	-111.851760	40.895411	1704.4      	1704.4      	515.3 	247.7	-17.9   	-5.0      	2.6     	1.103834 	90         	13           	558      
38        	848.7   	-4.88 	35   	14.7     	077     	-111.851958	40.895394	1707.0      	1707.0      	515.3 	247.3	-17.9   	-4.7      	2.6     	1.102251 	89         	12           	575      
39        	848.4   	-4.66 	34   	14.8     	077     	-111.852156	40.895377	1709.6      	1709.6      	515.4 	247.0	-18.0   	-4.5      	2.6     	1.101015 	89         	12           	592      
40        	848.1   	-4.38 	34   	14.8     	077     	-111.852353	40.895360	1712.2      	1712.1      	515.4 	246.6	-17.9   	-4.2      	2.6     	1.099498 	89         	12           	609      
41        	847.8   	-4.01 	33   	14.9     	076     	-111.852551	40.895343	1714.6      	1714.6      	515.3 	246.1	-17.9   	-3.8      	2.4     	1.097646 	89         	12           	625      
42        	847.6   	-3.89 	32   	14.9     	076     	-111.852748	40.895325	1717.1      	1717.0      	515.5 	245.9	-18.0   	-3.7      	2.4     	1.096786 	89         	12           	642      
43        	847.3   	-3.94 	32   	15.0     	076     	-111.852946	40.895308	1719.5      	1719.5      	515.8 	245.9	-18.3   	-3.8      	2.4     	1.096624 	89         	12           	659      
44        	847.0   	-3.90 	31   	15.0     	076     	-111.853144	40.895291	1722.0      	1721.9      	516.1 	245.7	-18.4   	-3.7      	2.4     	1.096103 	89         	12           	676      
45        	846.7   	-3.81 	31   	15.1     	075     	-111.853341	40.895274	1724.4      	1724.3      	516.3 	245.5	-18.5   	-3.6      	2.4     	1.095406 	88         	12           	693      
46        	846.5   	-3.76 	30   	15.1     	075     	-111.853542	40.895248	1727.0      	1726.9      	516.5 	245.4	-18.6   	-3.6      	2.6     	1.094833 	88         	12           	710      
47        	846.2   	-3.65 	30   	15.2     	075     	-111.853742	40.895222	1729.7      	1729.6      	516.7 	245.2	-18.7   	-3.5      	2.7     	1.094050 	88         	12           	727      
48        	845.9   	-3.52 	29   	15.2     	075     	-111.853943	40.895196	1732.4      	1732.4      	517.0 	245.0	-18.7   	-3.4      	2.7     	1.093146 	88         	12           	744      
49        	845.4   	-3.43 	29   	15.3     	074     	-111.854143	40.895170	1735.1      	1735.1      	517.1 	244.7	-18.8   	-3.3      	2.7     	1.092081 	88         	12           	761      
50        	844.8   	-3.45 	28   	15.3     	074     	-111.854344	40.895144	1737.9      	1737.8      	517.4 	244.5	-19.0   	-3.3      	2.7     	1.091457 	87         	11           	779      
51        	844.3   	-3.48 	28   	15.4     	074     	-111.854544	40.895118	1740.6      	1740.5      	517.7 	244.4	-19.2   	-3.3      	2.7     	1.090864 	87         	11           	796      
52        	843.7   	-3.41 	28   	15.4     	074     	-111.854745	40.895092	1747.9      	1747.8      	518.6 	244.2	-19.3   	-3.3      	7.3     	1.089899 	87         	12           	814      
53        	843.2   	-3.13 	27   	15.4     	074     	-111.854945	40.895066	1755.5      	1755.4      	519.3 	243.7	-19.2   	-3.0      	7.6     	1.088046 	87         	12           	832      
54        	842.7   	-2.86 	27   	15.3     	074     	-111.855145	40.895040	1763.1      	1763.0      	520.1 	243.3	-19.3   	-2.7      	7.6     	1.086266 	87         	12           	850      
55        	841.8   	-2.90 	26   	15.3     	075     	-111.855346	40.895013	1770.6      	1770.5      	521.0 	243.0	-19.8   	-2.7      	7.6     	1.085393 	87         	12           	869      
56        	841.0   	-2.91 	25   	15.2     	075     	-111.855546	40.894987	1778.2      	1778.1      	522.0 	242.8	-20.1   	-2.8      	7.6     	1.084402 	87         	13           	887      
57        	840.2   	-2.54 	24   	15.2     	075     	-111.855747	40.894961	1785.8      	1785.7      	522.6 	242.2	-20.1   	-2.4      	7.6     	1.081893 	86         	13           	905      
58        	839.4   	-1.96 	24   	15.1     	076     	-111.855947	40.894935	1793.4      	1793.3      	523.0 	241.4	-19.9   	-1.8      	7.6     	1.078522 	86         	13           	924      
59        	838.6   	-1.63 	23   	15.1     	076     	-111.856148	40.894909	1801.0      	1800.9      	523.6 	240.8	-20.0   	-1.5      	7.6     	1.076181 	86         	13           	942      
60        	837.8   	-1.56 	22   	15.1     	077     	-111.856348	40.894883	1808.5      	1808.4      	524.5 	240.5	-20.3   	-1.4      	7.6     	1.074897 	86         	14           	960      
61        	837.2   	-1.57 	22   	15.0     	077     	-111.856549	40.894857	1816.1      	1816.0      	525.4 	240.3	-20.6   	-1.4      	7.6     	1.074060 	86         	14           	979      
62        	836.5   	-1.50 	21   	15.0     	077     	-111.856749	40.894831	1822.4      	1822.3      	526.2 	240.0	-20.7   	-1.4      	6.3     	1.072926 	86         	14           	997      
63        	835.8   	-1.35 	21   	14.9     	078     	-111.856950	40.894805	1828.7      	1828.6      	526.8 	239.7	-20.7   	-1.2      	6.3     	1.071468 	86         	14           	1015     
64        	835.2   	-1.33 	21   	14.9     	078     	-111.857150	40.894779	1835.0      	1834.9      	527.6 	239.5	-20.8   	-1.2      	6.3     	1.070548 	86         	14           	1033     
65        	834.5   	-1.47 	21   	14.9     	078     	-111.857351	40.894753	1841.0      	1840.9      	528.4 	239.4	-21.0   	-1.3      	6.1     	1.070234 	86         	14           	1051     
66        	833.8   	-1.56 	21   	14.8     	079     	-111.857551	40.894727	1846.8      	1846.7      	529.2 	239.3	-21.1   	-1.4      	5.8     	1.069720 	86         	14           	1069     
67        	833.2   	-1.58 	21   	14.8     	079     	-111.857752	40.894700	1852.6      	1852.4      	530.0 	239.1	-21.1   	-1.4      	5.8     	1.069049 	85         	14           	1087     
68        	832.6   	-1.70 	21   	14.8     	080     	-111.857952	40.894674	1858.3      	1858.2      	530.8 	239.1	-21.2   	-1.6      	5.8     	1.068731 	85         	14           	1105     
69        	832.0   	-1.80 	21   	14.7     	080     	-111.858153	40.894648	1864.1      	1864.0      	531.7 	239.0	-21.3   	-1.7      	5.8     	1.068375 	85         	15           	1123     
70        	831.4   	-1.83 	21   	14.7     	080     	-111.858353	40.894622	1869.9      	1869.8      	532.4 	238.8	-21.3   	-1.7      	5.8     	1.067721 	85         	15           	1141     
71        	830.8   	-2.02 	21   	14.7     	081     	-111.858554	40.894596	1875.6      	1875.5      	533.3 	238.8	-21.4   	-1.9      	5.7     	1.067681 	85         	15           	1159     
72        	830.2   	-2.23 	21   	14.6     	081     	-111.858754	40.894570	1881.2      	1881.1      	534.2 	238.9	-21.5   	-2.1      	5.6     	1.067761 	85         	15           	1177     
73        	829.6   	-2.38 	21   	14.6     	082     	-111.858955	40.894544	1886.8      	1886.7      	535.1 	238.8	-21.6   	-2.3      	5.6     	1.067553 	85         	15           	1195     
74        	829.0   	-2.50 	21   	14.8     	081     	-111.859155	40.894518	1892.4      	1892.3      	535.9 	238.8	-21.6   	-2.4      	5.6     	1.067197 	85         	15           	1213     
75        	828.3   	-2.56 	21   	15.0     	081     	-111.859358	40.894494	1898.1      	1897.9      	536.6 	238.6	-21.6   	-2.4      	5.6     	1.066642 	85         	15           	1231     
76        	827.7   	-2.66 	21   	15.2     	081     	-111.859563	40.894474	1904.4      	1904.2      	537.5 	238.6	-21.6   	-2.5      	6.3     	1.066240 	85         	15           	1249     
77        	827.1   	-2.82 	22   	15.4     	080     	-111.859768	40.894454	1910.7      	1910.5      	538.5 	238.5	-21.7   	-2.7      	6.3     	1.066071 	85         	15           	1268     
78        	826.5   	-3.00 	21   	15.6     	080     	-111.859974	40.894434	1917.0      	1916.9      	539.5 	238.5	-21.9   	-2.9      	6.3     	1.065965 	85         	15           	1286     
79        	825.9   	-3.08 	22   	15.8     	080     	-111.860179	40.894414	1923.3      	1923.2      	540.4 	238.4	-21.9   	-3.0      	6.3     	1.065531 	85         	15           	1305     
80        	825.3   	-3.10 	22   	16.0     	079     	-111.860384	40.894394	1929.7      	1929.5      	541.2 	238.3	-21.8   	-3.0      	6.3     	1.064828 	85         	15           	1323     
81        	824.7   	-3.06 	22   	16.1     	079     	-111.860590	40.894374	1936.0      	1935.8      	542.0 	238.1	-21.8   	-2.9      	6.3     	1.063899 	85         	15           	1342     
82        	824.1   	-3.03 	22   	16.3     	079     	-111.860795	40.894354	1942.3      	1942.1      	542.8 	237.9	-21.7   	-2.9      	6.3     	1.062990 	85         	15           	1360     
83        	823.5   	-3.23 	22   	16.5     	078     	-111.861000	40.894334	1947.5      	1947.3      	543.7 	237.9	-21.7   	-3.1      	5.2     	1.063041 	85         	15           	1378     
84        	822.9   	-3.44 	22   	16.7     	078     	-111.861206	40.894314	1951.3      	1951.1      	544.3 	237.9	-21.8   	-3.3      	3.8     	1.063071 	85         	15           	1396     
85        	822.2   	-3.63 	22   	16.9     	078     	-111.861411	40.894293	1955.1      	1954.9      	544.8 	237.9	-22.0   	-3.5      	3.8     	1.062865 	85         	15           	1414     
86        	821.4   	-4.05 	22   	17.1     	077     	-111.861616	40.894273	1962.6      	1962.4      	546.1 	238.0	-22.4   	-3.9      	7.5     	1.063563 	85         	15           	1433     
87        	820.7   	-4.20 	22   	17.3     	077     	-111.861822	40.894253	1970.5      	1970.3      	547.3 	237.9	-22.7   	-4.1      	7.9     	1.063205 	85         	15           	1452     
88        	819.9   	-3.95 	22   	17.5     	077     	-111.862027	40.894233	1978.5      	1978.3      	548.1 	237.5	-22.6   	-3.8      	7.9     	1.061248 	85         	16           	1471     
89        	819.2   	-3.53 	21   	17.7     	077     	-111.862232	40.894213	1986.4      	1986.2      	548.7 	236.9	-22.4   	-3.4      	7.9     	1.058626 	85         	16           	1490     
90        	818.4   	-3.20 	21   	17.9     	076     	-111.862438	40.894193	1994.4      	1994.1      	549.4 	236.3	-22.4   	-3.1      	7.9     	1.056359 	84         	16           	1509     
91        	817.8   	-3.08 	20   	18.1     	076     	-111.862643	40.894173	2002.3      	2002.1      	550.4 	236.0	-22.6   	-3.0      	7.9     	1.055076 	84         	16           	1527     
92        	817.2   	-2.99 	20   	18.3     	076     	-111.862848	40.894153	2010.2      	2010.0      	551.3 	235.7	-22.7   	-2.9      	7.9     	1.053925 	84         	16           	1546     
93        	816.6   	-2.83 	20   	18.6     	076     	-111.863054	40.894133	2018.2      	2018.0      	552.3 	235.4	-22.5   	-2.7      	7.9     	1.052501 	84         	16           	1565     
94        	815.9   	-2.54 	20   	18.8     	076     	-111.863259	40.894113	2024.1      	2023.9      	552.8 	235.0	-22.2   	-2.4      	6.0     	1.050584 	84         	16           	1584     
95        	815.3   	-2.31 	20   	19.1     	076     	-111.863465	40.894093	2027.4      	2027.2      	552.9 	234.6	-22.1   	-2.2      	3.3     	1.048880 	84         	16           	1601     
96        	814.7   	-2.43 	20   	19.3     	077     	-111.863670	40.894072	2030.6      	2030.4      	553.3 	234.5	-22.3   	-2.3      	3.3     	1.048541 	84         	16           	1619     
97        	814.4   	-2.80 	20   	19.6     	077     	-111.863875	40.894052	2033.9      	2033.7      	554.1 	234.8	-22.7   	-2.7      	3.3     	1.049598 	84         	16           	1637     
98        	814.1   	-3.03 	20   	19.9     	077     	-111.864081	40.894032	2037.2      	2036.9      	554.7 	234.9	-22.8   	-2.9      	3.3     	1.050098 	84         	16           	1654     
99        	813.8   	-2.94 	20   	20.1     	077     	-111.864272	40.894014	2040.2      	2039.9      	555.0 	234.7	-22.8   	-2.8      	3.0     	1.049359 	84         	16           	1671     
100       	813.5   	-2.76 	19   	20.4     	077     	-111.864403	40.894001	2042.8      	2042.6      	555.2 	234.4	-22.9   	-2.6      	2.7     	1.048289 	84         	16           	1682     
101       	813.2   	-2.66 	19   	20.6     	078     	-111.864535	40.893988	2045.5      	2045.3      	555.4 	234.2	-23.1   	-2.5      	2.7     	1.047480 	84         	16           	1694     
102       	812.9   	-2.57 	18   	20.9     	078     	-111.864667	40.893975	2048.2      	2048.0      	555.6 	234.1	-23.3   	-2.5      	2.7     	1.046759 	84         	16           	1705     
103       	812.6   	-2.49 	18   	21.2     	078     	-111.864798	40.893962	2050.9      	2050.6      	555.9 	233.9	-23.4   	-2.4      	2.7     	1.046082 	84         	16           	1717     
104       	812.3   	-2.42 	18   	21.4     	078     	-111.864930	40.893949	2053.6      	2053.3      	556.1 	233.7	-23.6   	-2.3      	2.7     	1.045483 	84         	16           	1728     
105       	812.1   	-2.35 	17   	21.7     	078     	-111.865062	40.893936	2056.2      	2056.0      	556.4 	233.6	-23.9   	-2.2      	2.7     	1.044870 	84         	16           	1740     
106       	811.8   	-2.26 	16   	21.9     	079     	-111.865193	40.893923	2058.9      	2058.7      	556.6 	233.4	-24.3   	-2.2      	2.7     	1.044172 	84         	16           	1751     
107       	811.5   	-2.11 	16   	22.2     	079     	-111.865325	40.893910	2061.6      	2061.3      	556.8 	233.2	-24.4   	-2.0      	2.7     	1.043221 	84         	16           	1763     
108       	811.2   	-1.99 	16   	22.5     	079     	-111.865457	40.893897	2064.3      	2064.0      	557.0 	233.0	-24.5   	-1.9      	2.7     	1.042425 	84         	16           	1774     
109       	810.6   	-1.55 	15   	22.7     	079     	-111.865589	40.893884	2066.9      	2066.7      	556.9 	232.4	-24.4   	-1.4      	2.7     	1.039944 	84         	16           	1786     
110       	810.0   	-1.08 	15   	23.0     	079     	-111.865720	40.893871	2069.6      	2069.4      	556.7 	231.8	-24.3   	-1.0      	2.7     	1.037410 	84         	16           	1797     
111       	809.4   	-1.05 	14   	23.2     	079     	-111.865852	40.893858	2072.3      	2072.0      	556.9 	231.6	-24.7   	-0.9      	2.7     	1.036525 	84         	16           	1809     
112       	808.8   	-1.07 	15   	23.5     	080     	-111.865984	40.893845	2075.0      	2074.7      	557.2 	231.4	-24.6   	-1.0      	2.7     	1.035839 	84         	16           	1820     
113       	808.2   	-1.11 	15   	23.8     	080     	-111.866115	40.893833	2077.6      	2077.4      	557.5 	231.3	-24.4   	-1.0      	2.7     	1.035233 	84         	16           	1832     
114       	807.7   	-1.12 	15   	-----    	-----   	-111.866247	40.893820	2099.5      	2099.3      	560.8 	231.1	-24.4   	-1.0      	21.9    	1.034504 	84         	16           	1849     
115       	806.2   	-1.35 	15   	-----    	-----   	-111.866379	40.893807	2123.4      	2123.1      	564.3 	230.9	-24.5   	-1.2      	23.9    	1.033568 	84         	17           	1866     
116       	804.8   	-1.95 	15   	-----    	-----   	-111.866510	40.893794	2135.3      	2135.0      	566.3 	231.1	-24.9   	-1.9      	11.8    	1.034064 	84         	17           	1880     
117       	803.4   	-2.20 	15   	-----    	-----   	-111.866642	40.893781	2147.1      	2146.8      	568.0 	230.9	-25.0   	-2.1      	11.8    	1.033185 	84         	17           	1895     
118       	802.0   	-2.28 	15   	-----    	-----   	-111.866774	40.893768	2158.9      	2158.6      	569.5 	230.6	-25.1   	-2.2      	11.8    	1.031706 	84         	18           	1909     
119       	800.6   	-2.35 	15   	-----    	-----   	-111.866905	40.893755	2170.8      	2170.5      	571.0 	230.2	-25.2   	-2.2      	11.8    	1.030160 	84         	18           	1923     
120       	799.3   	-2.39 	15   	-----    	-----   	-111.867037	40.893742	2182.6      	2182.3      	572.5 	229.8	-25.2   	-2.3      	11.8    	1.028542 	84         	18           	1937     
121       	798.1   	-2.41 	15   	-----    	-----   	-111.867169	40.893729	2194.4      	2194.1      	574.0 	229.5	-25.4   	-2.3      	11.8    	1.027071 	84         	18           	1952     
122       	796.9   	-2.39 	15   	-----    	-----   	-111.867300	40.893716	2206.3      	2206.0      	575.5 	229.1	-25.6   	-2.3      	11.8    	1.025451 	84         	18           	1966     
123       	795.7   	-2.36 	15   	-----    	-----   	-111.867432	40.893703	2218.1      	2217.8      	577.0 	228.8	-25.5   	-2.3      	11.8    	1.023834 	84         	19           	1980     
124       	794.5   	-2.68 	15   	-----    	-----   	-111.867564	40.893690	2230.0      	2229.6      	578.8 	228.7	-25.7   	-2.6      	11.8    	1.023490 	84         	19           	1995     
125       	793.3   	-3.34 	15   	-----    	-----   	-111.867695	40.893677	2241.8      	2241.5      	580.9 	228.9	-26.2   	-3.2      	11.8    	1.024458 	84         	19           	2009     
126       	792.1   	-3.99 	15   	-----    	-----   	-111.867827	40.893664	2253.6      	2253.3      	583.0 	229.1	-26.7   	-3.9      	11.8    	1.025432 	84         	19           	2024     
127       	790.9   	-4.37 	15   	-----    	-----   	-111.867959	40.893652	2265.5      	2265.1      	584.8 	229.1	-26.7   	-4.3      	11.8    	1.025329 	84         	20           	2038     
128       	789.8   	-3.60 	16   	-----    	-----   	-111.868091	40.893639	2277.3      	2276.9      	585.7 	228.2	-25.6   	-3.5      	11.8    	1.020859 	84         	20           	2053     
129       	788.6   	-2.82 	17   	-----    	-----   	-111.868222	40.893626	2289.2      	2288.8      	586.6 	227.2	-24.6   	-2.7      	11.8    	1.016417 	84         	20           	2067     
130       	787.4   	-2.21 	17   	-----    	-----   	-111.868354	40.893613	2301.0      	2300.6      	587.6 	226.4	-23.7   	-2.1      	11.8    	1.012594 	84         	20           	2082     
131       	786.2   	-2.33 	18   	-----    	-----   	-111.868486	40.893600	2312.8      	2312.4      	589.3 	226.2	-23.5   	-2.2      	11.8    	1.011552 	84         	20           	2096     
132       	785.0   	-2.46 	17   	-----    	-----   	-111.868617	40.893587	2324.7      	2324.3      	590.9 	225.9	-24.3   	-2.4      	11.8    	1.010511 	84         	21           	2111     
133       	783.9   	-2.59 	16   	-----    	-----   	-111.868749	40.893574	2336.5      	2336.1      	592.4 	225.6	-25.1   	-2.5      	11.8    	1.009471 	84         	21           	2126     
134       	782.7   	-2.65 	15   	-----    	-----   	-111.868881	40.893561	2348.4      	2347.9      	594.0 	225.3	-25.9   	-2.6      	11.8    	1.008196 	84         	21           	2140     
135       	781.5   	-2.69 	14   	-----    	-----   	-111.869012	40.893548	2360.2      	2359.8      	595.5 	224.9	-26.4   	-2.6      	11.8    	1.006851 	84         	21           	2155     
136       	780.4   	-3.15 	13   	-----    	-----   	-111.869144	40.893535	2372.0      	2371.6      	597.4 	225.0	-27.3   	-3.1      	11.8    	1.007042 	84         	21           	2170     
137       	779.2   	-3.89 	13   	-----    	-----   	-111.869276	40.893522	2383.9      	2383.4      	599.5 	225.3	-27.7   	-3.8      	11.8    	1.008310 	84         	22           	2185     
138       	778.0   	-4.46 	14   	-----    	-----   	-111.869407	40.893509	2395.7      	2395.3      	601.6 	225.4	-27.8   	-4.4      	11.8    	1.008923 	84         	22           	2199     
139       	776.5   	-4.37 	14   	-----    	-----   	-111.869539	40.893496	2407.6      	2407.1      	602.9 	224.9	-27.3   	-4.3      	11.8    	1.006610 	84         	22           	2214     
140       	775.0   	-4.26 	14   	-----    	-----   	-111.869671	40.893483	2419.4      	2418.9      	604.2 	224.4	-27.4   	-4.2      	11.8    	1.004225 	84         	22           	2229     
141       	773.5   	-4.14 	14   	-----    	-----   	-111.869802	40.893471	2432.7      	2432.2      	605.8 	223.8	-27.4   	-4.1      	13.3    	1.001793 	84         	22           	2244     
142       	771.9   	-3.85 	14   	-----    	-----   	-111.869934	40.893458	2451.0      	2450.5      	608.0 	223.2	-27.2   	-3.8      	18.3    	0.998756 	84         	23           	2262     
143       	770.4   	-3.81 	14   	-----    	-----   	-111.870066	40.893445	2469.8      	2469.3      	610.5 	222.7	-27.1   	-3.7      	18.9    	0.996644 	84         	23           	2279     
144       	768.9   	-3.86 	14   	-----    	-----   	-111.870197	40.893432	2488.7      	2488.2      	613.0 	222.3	-27.5   	-3.8      	18.9    	0.994888 	84         	23           	2297     
145       	767.1   	-3.91 	13   	-----    	-----   	-111.870329	40.893419	2507.6      	2507.0      	615.5 	221.8	-27.9   	-3.8      	18.9    	0.992691 	84         	24           	2315     
146       	765.2   	-3.93 	13   	-----    	-----   	-111.870461	40.893406	2526.4      	2525.9      	617.9 	221.2	-28.1   	-3.8      	18.9    	0.990380 	84         	24           	2332     
147       	763.4   	-4.01 	13   	-----    	-----   	-111.870593	40.893393	2545.3      	2544.7      	620.4 	220.8	-28.2   	-3.9      	18.9    	0.988300 	84         	24           	2350     
148       	761.6   	-4.16 	13   	-----    	-----   	-111.870724	40.893380	2564.1      	2563.5      	622.9 	220.4	-28.3   	-4.1      	18.9    	0.986494 	84         	24           	2368     
149       	759.8   	-4.33 	13   	-----    	-----   	-111.870856	40.893367	2583.0      	2582.4      	625.5 	220.0	-28.3   	-4.3      	18.9    	0.984774 	84         	25           	2386     
150       	758.0   	-4.56 	13   	-----    	-----   	-111.871073	40.893308	2601.8      	2601.2      	628.2 	219.7	-28.3   	-4.5      	18.9    	0.983263 	84         	25           	2411     
151       	756.1   	-4.93 	14   	-----    	-----   	-111.871311	40.893237	2620.7      	2620.1      	630.9 	219.5	-28.5   	-4.9      	18.9    	0.982202 	84         	25           	2438     
152       	754.2   	-5.35 	14   	-----    	-----   	-111.871550	40.893167	2639.5      	2638.9      	633.7 	219.3	-28.8   	-5.3      	18.9    	0.981319 	83         	25           	2465     
153       	752.4   	-5.77 	14   	-----    	-----   	-111.871788	40.893096	2658.4      	2657.7      	636.4 	219.1	-29.1   	-5.7      	18.9    	0.980434 	83         	26           	2492     
