1984,7,3374
1984,8,2945
1984,9,3423
1984,10,4071
1984,11,4471
1984,12,3796
1985,1,2846
1985,2,2696
1985,3,3694
1985,4,7258
1985,5,3514
1985,6,714.2
1985,7,1069
1985,8,1228
1985,9,1738
1985,10,2004
1985,11,2389
1985,12,2408
1986,1,2313
1986,2,5966
1986,3,6041
1986,4,7037
1986,5,7952
1986,6,6645
1986,7,3393
1986,8,2267
1986,9,3190
1986,10,3298
1986,11,3536
1986,12,2959
1987,1,2247
1987,2,2250
1987,3,1933
1987,4,1214
1987,5,1254
1987,6,1044
1987,7,578.4
1987,8,770
1987,9,663.9
1987,10,626.4
1987,11,967.3
1987,12,1025
1988,1,1133
1988,2,1098
1988,3,1098
1988,4,1519
1988,5,640.7
1988,6,144.5
1988,7,124.1
1988,8,104.7
1988,9,248.8
1988,10,654.1
1988,11,647.3
1988,12,722.1
1989,1,764.5
1989,2,781.4
1989,3,2022
1989,4,2279
1989,5,1284
1989,6,255.3
1989,7,182.1
1989,8,197.2
1989,9,176.8
1989,10,424.3
1989,11,940.3
1989,12,1025
1990,1,1264
1990,2,914.3
1990,3,1117
1990,4,917.9
1990,5,296.6
1990,6,292
1990,7,122.6
1990,8,106.4
1990,9,160.2
1990,10,400.5
1990,11,735.3
1990,12,648
1991,1,732.6
1991,2,878.9
1991,3,913.2
1991,4,1030
1991,5,1498
1991,6,1524
1991,7,91.9
1991,8,98.4
1991,9,460.1
1991,10,217.4
1991,11,714.8
1991,12,853.4
1992,1,719
1992,2,805.9
1992,3,938.5
1992,4,637.8
1992,5,71.8
1992,6,77.6
1992,7,80.9
1992,8,55.2
1992,9,62.2
1992,10,95.6
1992,11,666.5
1992,12,639.2
1993,1,620
1993,2,723.2
1993,3,2256
1993,4,2289
1993,5,3883
1993,6,2486
1993,7,465.9
1993,8,297.5
1993,9,351.1
1993,10,988.6
1993,11,943
1993,12,1012
1994,1,1128
1994,2,1174
1994,3,1633
1994,4,1605
1994,5,415.3
1994,6,134.7
1994,7,72.3
1994,8,73.5
1994,9,102.9
1994,10,562.3
1994,11,621.3
1994,12,534.8
1995,1,1116
1995,2,1248
1995,3,2302
1995,4,1751
1995,5,2662
1995,6,3073
1995,7,304.3
1995,8,114.5
1995,9,235.7
1995,10,656.4
1995,11,1099
1995,12,1073
1996,1,994.3
1996,2,1443
1996,3,1850
1996,4,2784
1996,5,2670
1996,6,2494
1996,7,254.8
1996,8,130.8
1996,9,436.3
1996,10,703.7
1996,11,1092
1996,12,2080
1997,1,2756
1997,2,1892
1997,3,2664
1997,4,3841
1997,5,5567
1997,6,4939
1997,7,1408
1997,8,1576
1997,9,1858
1997,10,2458
1997,11,2750
1997,12,2385
1998,1,2889
1998,2,2777
1998,3,3335
1998,4,4061
1998,5,5242
1998,6,4226
1998,7,1268
1998,8,884
1998,9,1439
1998,10,2307
1998,11,2535
1998,12,2566
1999,1,2355
1999,2,2574
1999,3,2821
1999,4,2887
1999,5,4837
1999,6,4444
1999,7,1136
1999,8,974.1
1999,9,1407
1999,10,1401
1999,11,1880
1999,12,1802
2000,1,2381
2000,2,1835
2000,3,1835
2000,4,1921
2000,5,972.5
2000,6,215.1
2000,7,105.1
2000,8,103.2
2000,9,522.1
2000,10,578.5
2000,11,621
2000,12,564.9
2001,1,821.5
2001,2,1069
2001,3,1556
2001,4,1546
2001,5,326.4
2001,6,120.5
2001,7,111.1
2001,8,110.2
2001,9,73
2001,10,233
2001,11,629.2
2001,12,1219
2002,1,1168
2002,2,970
2002,3,1300
2002,4,1556
2002,5,636.1
2002,6,249.5
2002,7,82.2
2002,8,66.5
2002,9,305.9
2002,10,448.9
2002,11,701.9
2002,12,819.1
2003,1,755.5
2003,2,899.1
2003,3,993.2
2003,4,1094
2003,5,280.6
2003,6,80.9
2003,7,40.4
2003,8,50.3
2003,9,111.9
2003,10,351.1
2003,11,662.7
2003,12,708.4
2004,1,869.4
2004,2,1034
2004,3,1562
2004,4,1097
2004,5,404.9
2004,6,502.7
2004,7,43
2004,8,46.8
2004,9,131.5
2004,10,540
2004,11,745.4
2004,12,1056
2005,1,1240
2005,2,1016
2005,3,2232
2005,4,3114
2005,5,5863
2005,6,3241
2005,7,243.8
2005,8,171.1
2005,9,297.1
2005,10,775.8
2005,11,870.9
2005,12,1189
2006,1,1811
2006,2,1585
2006,3,2500
2006,4,4968
2006,5,3853
2006,6,1201
2006,7,122.6
2006,8,149.2
2006,9,640.1
2006,10,1111
2006,11,1297
2006,12,1414
2007,1,1306
2007,2,1493
2007,3,1887
2007,4,1442
2007,5,461.8
2007,6,107.3
2007,7,77.3
2007,8,75.6
2007,9,150.1
2007,10,468.4
2007,11,626.6
2007,12,729.8
2008,1,848.2
2008,2,1125
2008,3,1337
2008,4,1340
2008,5,1421
2008,6,1190
2008,7,85.2
2008,8,85.5
2008,9,197.1
2008,10,792.8
2008,11,898.5
2008,12,894.3
2009,1,1037
2009,2,942.8
2009,3,1917
2009,4,2618
2009,5,2575
2009,6,3030
2009,7,249.8
2009,8,143.1
2009,9,260.1
2009,10,956.4
2009,11,1035
2009,12,969.5
2010,1,973.9
2010,2,978.4
2010,3,1167
2010,4,1545
2010,5,981.7
2010,6,1620
2010,7,121.7
2010,8,117.7
2010,9,211.5
2010,10,517.7
2010,11,764.4
2010,12,1419
2011,1,1316
2011,2,1288
2011,3,2418
2011,4,3874
2011,5,5312
2011,6,5469
2011,7,2460
2011,8,1367
2011,9,1391
2011,10,1964
2011,11,2217
2011,12,1738
2012,1,2088
2012,2,1404
2012,3,1854
2012,4,1785
2012,5,651.8
2012,6,213.2
2012,7,188.6
2012,8,123.8
2012,9,190.3
2012,10,676.4
2012,11,750.7
2012,12,953.5
2013,1,885.1
2013,2,952.6
2013,3,1452
2013,4,1564
2013,5,474.4
2013,6,148.9
2013,7,170.7
2013,8,144.1
2013,9,238.5
2013,10,553.4
2013,11,655.8
2013,12,720.3
2014,1,764.2
2014,2,1110
2014,3,1463
2014,4,1423
2014,5,1034
2014,6,256.6
2014,7,117.7
2014,8,329.8
2014,9,258.2
2014,10,761.2
2014,11,803.6
2014,12,817.6
2015,1,748.7
2015,2,992.7
2015,3,897
2015,4,959.9
2015,5,1280
2015,6,920.1
2015,7,226.3
2015,8,137.5
2015,9,389.5
2015,10,426.7
2015,11,701.7
2015,12,626.5
2016,1,757.4
2016,2,1422
2016,3,1691
2016,4,2645
2016,5,2063
2016,6,657.9
2016,7,136.2
2016,8,112.2
2016,9,478.8
2016,10,798.5
2016,11,945.6
2016,12,1237
2017,2,5215
2017,3,5083
2017,4,5746
2017,5,4707
2017,6,2473
2017,7,663.9
