 98 12 05 04    -10.3    -11.1    -12.8    -16.4    -15.0 
 98 12 05 12    -13.9    -15.6    -16.1    -20.1    -17.8 
 98 12 05 07    -11.0    -12.2    -13.9    -17.4    -15.6 
 98 12 05 10    -12.7    -13.9    -15.0    -18.8    -17.2 
 98 12 05 08    -11.6    -12.8    -13.9    -17.8    -16.1 
 98 12 05 19    -11.8    -10.0    -16.1    -19.3    -17.8 
 98 12 05 05    -10.7    -11.1    -12.8    -16.7    -15.0 
 98 12 05 15    -21.8    -19.4    -19.4    -21.9    -19.4 
 98 12 05 01     -9.7    -10.6    -12.2    -15.3    -13.9 
 98 12 05 17    -18.1    -12.8    -17.8    -20.3    -18.9 
 98 12 05 11    -13.3    -14.4    -15.6    -19.4    -17.8 
 98 12 06 05    -20.4    -17.8    -17.8    -18.6    -16.7 
 98 12 06 04    -20.8    -17.8    -18.3    -19.2    -17.2 
 98 12 06 12    -16.8    -15.0    -15.6    -17.2    -15.6 
 98 12 06 21     -8.2    -11.7    -12.8    -15.3    -14.4 
 98 12 06 02    -20.0    -17.8    -17.8    -18.8    -17.2 
 98 12 06 22    -10.3    -11.7    -13.9    -17.2    -15.0 
 98 12 06 18    -15.9    -10.6    -15.6    -14.9    -15.0 
 98 12 06 11    -16.6    -15.0    -15.0    -16.9    -15.6 
 98 12 06 06    -20.3    -17.2    -17.8    -17.6    -16.1 
 98 12 06 17    -16.1     -9.4    -16.1    -16.3    -15.6 
 98 12 06 16    -17.1    -13.9    -16.7    -18.3    -16.1 
 98 12 06 15    -17.8    -15.6    -15.6    -18.0    -16.1 
 98 12 06 03    -21.1    -17.8    -18.3    -18.9    -17.2 
 98 12 06 07    -19.0    -16.1    -17.8    -17.4    -16.1 
 98 12 06 01    -17.8    -17.2    -18.3    -19.1    -17.2 
 98 12 06 14    -17.8    -15.6    -15.0    -17.8    -15.6 
 98 12 06 08    -17.6    -16.1    -16.7    -17.2    -15.6 
 98 12 06 19    -10.5     -9.4    -13.9    -12.7    -14.4 
 98 12 06 13    -17.3    -15.6    -15.0    -17.4    -15.6 
