1992,5631.556,5621.492,5610.782,5689.008,5754.734,5775.417,5835.798,5880.112,5801.658,5747.564,5611.558,5555.161
1993,5559.597,5540.134,5645.637,5611.317,5729.565,5751.834,5802.678,5847.976,5799.950,5735.419,5616.191,5619.121
1994,5623.500,5545.938,5642.782,5639.050,5729.605,5826.550,5881.678,5897.355,5827.800,5687.782,5570.750,5615.879
1995,5578.572,5654.911,5580.088,5588.842,5648.306,5756.625,5865.831,5872.323,5811.492,5724.387,5692.142,5624.064
1996,5557.548,5594.465,5597.153,5643.142,5692.323,5826.283,5898.726,5884.854,5764.325,5706.540,5651.700,5569.476
1997,5583.258,5566.428,5641.218,5593.750,5742.048,5784.883,5862.686,5881.782,5823.775,5711.412,5636.583,5603.943
1998,5567.314,5516.750,5567.767,5602.216,5675.895,5737.008,5907.226,5906.814,5816.767,5712.218,5634.358,5613.226
1999,5604.637,5593.107,5600.331,5589.708,5678.064,5776.975,5879.927,5878.831,5795.333,5789.524,5740.216,5645.573
2000,5594.621,5613.009,5603.621,5685.600,5728.621,5818.683,5889.291,5894.943,5805.684,5713.524,5583.050,5636.822
2001,5608.258,5555.420,5614.064,5622.200,5762.589,5812.941,5881.581,5903.742,5834.750,5747.314,5679.258,5577.855
2002,5578.250,5629.089,5567.637,5650.108,5703.193,5819.900,5921.387,5861.072,5799.525,5688.258,5678.733,5593.242
2003,5702.621,5539.625,5588.823,5610.650,5723.468,5788.767,5931.637,5908.541,5820.216,5786.597,5596.208,5610.758
2004,5597.064,5558.259,5683.734,5658.758,5704.161,5805.625,5877.298,5858.202,5782.183,5691.000,5665.267,5633.959
2005,5625.250,5609.625,5588.113,5641.517,5714.274,5753.342,5907.984,5872.992,5805.600,5746.774,5678.900,5613.750
2006,5603.976,5595.143,5542.790,5654.908,5745.379,5852.425,5922.734,5868.331,5791.950,5715.427,5653.808,5643.742
2007,5598.387,5582.304,5667.774,5651.167,5734.459,5827.233,5925.072,5887.282,5803.717,5735.097,5702.375,5554.452
2008,5537.395,5574.250,5585.322,5605.258,5680.097,5793.941,5894.145,5875.549,5814.792,5761.153,5710.175,5559.790
2009,5656.750,5585.804,5579.896,5623.233,5747.557,5769.217,5890.613,5867.532,5847.750,5658.814,5685.425,5541.032
2010,5604.113,5552.411,5607.532,5596.000,5640.807,5801.992,5877.347,5856.032,5827.883,5758.282,5621.200,5604.693
2011,5610.758,5535.294,5586.613,5586.250,5651.089,5768.433,5878.532,5892.403,5846.875,5743.959,5626.475,5635.032
2012,5638.694,5560.422,5620.403,5669.592,5720.976,5813.858,5908.532,5905.193,5852.809,5730.315,5699.850,5549.137
2013,5608.153,5562.598,5625.290,5617.275,5721.839,5828.600,5908.057,5894.782,5802.775,5698.484,5676.708,5599.612
2014,5646.460,5560.116,5613.863,5634.900,5728.476,5778.792,5916.524,5861.104,5828.425,5771.597,5658.381,5610.863
2015,5690.291,5647.507,5694.441,5640.704,5698.010,5858.061,5864.036,5889.859,5835.462,5777.406,5615.496,5555.728
2016,5599.542,5668.741,5602.896,5670.731,5709.542,5873.055,5888.522,5874.943,5816.976,5744.839,5704.629,5575.270
2017,5560.121,5587.152,5665.700,5634.404,5720.744,5832.181,5926.990,5891.264,5800.450,5740.333,5694.344,5670.764
2018,5663.432,5551.044,5592.093,5663.746,5740.712,5820.677,5934.464,5884.171,5828.219,5714.427,5650.010,5603.022
